time,x,y,z,norm
1559743414394,0.7236175537109375,1.890869140625,18.796478271484375,18.905200445416884
1559743414398,0.362091064453125,1.567657470703125,18.89703369140625,18.965403824294146
1559743414404,-0.0880126953125,1.2037353515625,18.9066162109375,18.945101255438626
1559743414410,-0.53094482421875,0.8422088623046875,18.753387451171875,18.779796566200602
1559743414416,-0.969085693359375,0.5166015625,18.490020751953125,18.522604343426128
1559743414440,-1.402435302734375,0.2005615234375,18.0087890625,18.0644272868159
1559743414440,-1.8190155029296875,-0.048431396484375,17.407852172851562,17.50269922817383
1559743414440,-2.2260284423828125,-0.2663116455078125,16.720718383789062,16.870345218424305
1559743414440,-2.582763671875,-0.3932037353515625,16.024002075195312,16.235575747971346
1559743414440,-2.9179534912109375,-0.460235595703125,15.29376220703125,15.57643835495264
1559743414444,-3.135833740234375,-0.500946044921875,14.546783447265625,14.889368987568156
1559743414449,-3.253143310546875,-0.486572265625,13.768661499023438,14.156119999608709
1559743414453,-3.2124481201171875,-0.35968017578125,13.007308959960938,13.402957850160336
1559743414458,-2.9897918701171875,-0.1992645263671875,12.289047241210938,12.649080752165405
1559743414465,-2.5731964111328125,0.14788818359375,11.628250122070312,11.91047486822174
1559743414479,-2.0919647216796875,0.4926605224609375,11.036880493164062,11.244187912318491
1559743414479,-1.3904571533203125,0.892486572265625,10.584365844726562,10.712548889592444
1559743414479,-0.6291046142578125,1.347381591796875,10.122299194335938,10.230940853569994
1559743414491,0.065216064453125,1.7567901611328125,9.648239135742188,9.807093515704995
1559743414491,0.6901092529296875,2.0991668701171875,9.202911376953125,9.464477277780851
1559743414493,1.25274658203125,2.4391326904296875,8.8270263671875,9.24311293706493
1559743414498,1.777069091796875,2.7384185791015625,8.3936767578125,9.006149031968667
1559743414503,2.3085784912109375,2.94671630859375,7.89569091796875,8.738112309046407
1559743414508,2.7251739501953125,3.154998779296875,7.44317626953125,8.531205268630044
1559743414513,3.034027099609375,3.327392578125,7.0170135498046875,8.337586039632095
1559743414519,3.2734527587890625,3.4638519287109375,6.6315460205078125,8.166465929040003
1559743414524,3.3668212890625,3.54046630859375,6.339447021484375,8.003685139545349
1559743414528,3.4123077392578125,3.597930908203125,6.0880584716796875,7.851968344446693
1559743414566,3.3644256591796875,3.63385009765625,5.980316162109375,7.764561027332428
1559743414567,3.223175048828125,3.5691986083984375,5.92047119140625,7.627582528550764
1559743414567,3.0627593994140625,3.46624755859375,5.8677978515625,7.471707897325605
1559743414567,2.8137664794921875,3.3465423583984375,5.92047119140625,7.359932519115931
1559743414567,2.6102447509765625,3.1837310791015625,5.927642822265625,7.217095722823349
1559743414567,2.4187164306640625,2.9993896484375,5.9348297119140625,7.075926168674761
1559743414567,2.2080230712890625,2.826995849609375,5.8917388916015625,6.89781549360838
1559743414568,1.9973297119140625,2.657012939453125,5.8486480712890625,6.727237768973929
1559743414577,1.7938232421875,2.5037841796875,5.7911834716796875,6.559309647007182
1559743414582,1.5735626220703125,2.3266143798828125,5.6571044921875,6.316016547934487
1559743414583,1.365264892578125,2.192535400390625,5.491912841796875,6.068959249390777
1559743414617,1.1569671630859375,2.0417022705078125,5.3003692626953125,5.796640018043309
1559743414617,0.9247283935546875,1.9626922607421875,5.1303863525390625,5.5702915218633375
1559743414617,0.6805267333984375,1.895660400390625,4.934051513671875,5.3293066460888525
1559743414617,0.4195556640625,1.790313720703125,4.81195068359375,5.151322117197016
1559743414617,0.1897125244140625,1.7400360107421875,4.701812744140625,5.017046864596975
1559743414618,0.0484619140625,1.747222900390625,4.58929443359375,4.910881776115019
1559743414618,-0.0736541748046875,1.72088623046875,4.479156494140625,4.798928761159644
1559743414622,-0.1334991455078125,1.7041168212890625,4.38818359375,4.709351485598449
1559743414632,-0.1957550048828125,1.696929931640625,4.325927734375,4.650972154062992
1559743414636,-0.20294189453125,1.706512451171875,4.27325439453125,4.605873780179089
1559743414671,-0.2484283447265625,1.7089080810546875,4.299591064453125,4.633418478130672
1559743414672,-0.3106689453125,1.70172119140625,4.3450775146484375,4.676758366129913
1559743414672,-0.3705291748046875,1.7256622314453125,4.44085693359375,4.778745893125721
1559743414672,-0.4447479248046875,1.77593994140625,4.457611083984375,4.81892726321538
